aktørid,politician,party
18693,Mai Villadsen,Enhedslisten
18719,Birgitte Vind,Socialdemokratiet
18692,Susanne Zimmer,Frie Grønne
18702,Anne Honoré Østergaard,Venstre
18697,Stén Knuth,Venstre
18710,Katarina Ammitzbøll,Det Konservative Folkeparti
18736,Egil Hulgaard,Det Konservative Folkeparti
18830,Nils Sjøberg,Radikale Venstre
18882,Tanja Larsson,Socialdemokratiet
18953,Mira Issa Bloch,Alternativet
18917,Balder Mørk Andersen,Socialistisk Folkeparti
19000,Theresa Berg Andersen,Socialistisk Folkeparti
19016,Dorthe Hindborg,Socialdemokratiet
19002,Gitte Willumsen,Det Konservative Folkeparti
19146,Anna Brændemose,Socialistisk Folkeparti
19133,Anders G. Christensen,Venstre
19142,Barbara Gaardlykke Apol,Javnaðarflokkurin
19196,Ruben Kidde,Radikale Venstre
19221,Hanne Bjørn-Klausen,Det Konservative Folkeparti
19475,Susan Kronborg,Radikale Venstre
19480,Henrik Vinther,Radikale Venstre
19569,Maja Torp,Venstre
19637,Kenneth Mikkelsen,Venstre
19684,Mads Andersen,Det Konservative Folkeparti
19748,Stine Pilt Olsen,Det Konservative Folkeparti
19807,Anne Rasmussen,Venstre
19809,Christina Thorholm,Radikale Venstre
19806,Alexander Grandt,Socialdemokratiet
19919,Brian Bressendorff,Socialdemokratiet
19920,Karsten Filsø,Socialistisk Folkeparti
19948,Mark Grossmann,Venstre
19928,Kim Aas,Socialdemokratiet
19982,Jan Bjergskov Larsen,Socialistisk Folkeparti
